Algorithm,Dataset,Total Tugas,Makespan,Throughput,CPU Time,Wait Time,Avg Start,Avg Exec,Avg Finish,Imbalance,Util (%)
FCFS,Low-High,28,65.36,0.43,471.67,151.69,5.45,17.06,22.34,1.22,48.85
FCFS,Random Simple,49,64.57,0.76,688.55,748.44,15.24,14.07,29.24,2.01,70.95
FCFS,Random Stratified,247,219.32,1.13,538.88,8135.47,32.71,2.21,35.15,1.6,16.61
HEFT,Low-High,30,65.76,0.46,513.92,78.07,2.59,17.36,19.9,2.06,52.83
HEFT,Random Simple,50,60.38,0.83,705.91,758.98,15.15,14.13,29.22,2.13,77.78
HEFT,Random Stratified,250,70.39,3.57,548.3,5687.34,22.86,2.22,24.94,1.37,52.91
Round Robin,Low-High,30,93.04,0.32,561.36,441.63,14.8,18.95,33.51,0.97,43.76
Round Robin,Random Simple,50,142.13,0.36,757.64,1632.48,32.56,15.17,47.61,0.47,37.9
Round Robin,Random Stratified,250,83.23,3,553.03,6038.48,23.98,2.24,26.39,0.42,48.16
SHC,Low-High,30,57.1,0.51,496.68,234.73,8.14,17.34,25.3,1.99,59.02
SHC,Random Simple,50,120.06,0.41,741.64,947.53,19.44,15.26,34.62,1.6,41.53
SHC,Random Stratified,250,90.94,2.93,585.56,5300.07,21.12,2.38,23.64,1.38,45.9
