Putaran,Total Tugas,Makespan,Throughput,CPU Time,Wait Time,Avg Start,Avg Exec,Avg Finish,Imbalance,Util (%)
1,28,65.5127,0.4253,463.8616,153.1043,5.3967,17.1708,22.5623,1.232,48.0129
2,28,62.7427,0.4288,482.1329,152.2903,5.2858,16.9877,22.523,1.212,48.9902
3,28,64.7783,0.4228,477.4059,153.3418,5.5383,17.2859,21.735,1.2107,49.3431
4,28,65.3679,0.4372,510.539,153.3724,5.544,17.2521,22.642,1.226,49.5814
5,28,63.7029,0.4307,469.4126,151.8893,5.6719,16.2969,22.6576,1.194,48.379
6,28,66.1122,0.4333,463.7967,149.4716,5.4946,16.6818,22.4476,1.2349,48.2035
7,28,67.4774,0.4382,454.8151,152.2065,5.3492,17.2177,21.9965,1.231,49.3333
8,28,65.8233,0.4223,470.8428,150.2006,5.3501,17.5269,22.5318,1.2027,49.7366
9,28,67.4492,0.4416,459.6099,150.1724,5.5583,16.6895,22.5492,1.2529,47.9346
10,28,64.626,0.4047,464.3025,150.875,5.2856,17.4818,21.7115,1.2229,48.9677
