Putaran,Total Tugas,Makespan,Throughput,CPU Time,Wait Time,Avg Start,Avg Exec,Avg Finish,Imbalance,Util (%)
1,49,65.1882,0.757,699.6158,769.5325,15.1819,14.0293,30.2766,2.0509,70.6652
2,49,65.2474,0.7521,684.2357,750.3989,14.6696,13.609,29.0195,1.979,71.7833
3,49,63.3748,0.7377,710.9146,743.4129,15.2739,13.6937,29.0301,2.0244,69.6929
4,49,65.032,0.75,686.6397,737.7981,15.8184,14.0915,28.7287,2.0531,69.5932
5,49,64.8166,0.7293,672.3223,749.7253,15.4786,14.1436,29.2817,2.0077,69.2256
6,49,63.6177,0.7521,705.2714,751.9172,14.7155,14.1867,29.1236,1.9926,72.2077
7,49,65.878,0.7732,679.0766,742.1667,15.3544,14.3703,29.0683,2.0124,69.7566
8,49,63.0028,0.7714,709.4033,745.7095,15.5594,14.1972,28.9709,2.0345,73.5293
9,49,64.5008,0.7829,654.4815,759.0607,15.2799,14.011,29.4035,1.9396,71.0216
10,49,65.008,0.7815,683.5099,734.7096,15.1002,14.3534,29.5426,1.9985,72.0673
