Putaran,Total Tugas,Makespan,Throughput,CPU Time,Wait Time,Avg Start,Avg Exec,Avg Finish,Imbalance,Util (%)
1,30,65.8463,0.4653,509.9268,77.3027,2.5845,16.735,19.9622,2.072,52.4686
2,30,65.4103,0.4436,512.8376,77.2793,2.5631,17.184,20.005,2.139,52.6464
3,30,66.0572,0.4558,497.3413,77.7714,2.6081,18.0889,19.7683,2.0736,52.4268
4,30,64.1826,0.4669,524.9665,79.0437,2.5576,17.7233,19.2883,2.0854,54.7616
5,30,64.4167,0.4513,518.2194,77.0291,2.5241,17.2632,19.423,2.0807,51.4985
6,30,67.7559,0.4493,513.8573,79.0787,2.5408,17.318,20.3635,1.9949,52.6569
7,30,66.0602,0.4636,504.3939,75.7577,2.6321,17.342,19.9441,2.0755,51.7497
8,30,66.0239,0.4592,509.7996,80.7163,2.6296,16.8288,20.1052,2.021,53.2891
9,30,67.2415,0.449,527.1536,78.4551,2.6478,17.8936,19.7473,2.0301,51.5299
10,30,64.6464,0.4558,520.7175,78.2433,2.648,17.2441,20.4216,2.0503,55.3174
