Putaran,Total Tugas,Makespan,Throughput,CPU Time,Wait Time,Avg Start,Avg Exec,Avg Finish,Imbalance,Util (%)
1,50,60.9643,0.826,717.2564,780.3692,15.0903,14.0954,30.2501,2.1766,77.4669
2,50,61.0197,0.8206,701.4885,760.9661,14.5812,13.6731,28.9942,2.1003,78.6927
3,50,59.2684,0.8049,728.84,753.8817,15.1818,13.7582,29.0047,2.1485,76.401
4,50,60.8182,0.8183,703.9531,748.1879,15.723,14.1579,28.7036,2.179,76.2918
5,50,60.6168,0.7958,689.2747,760.283,15.3853,14.2102,29.2561,2.1308,75.8888
6,50,59.4956,0.8206,723.0546,762.5058,14.6267,14.2535,29.0981,2.1147,79.1579
7,50,61.6094,0.8437,696.1993,752.618,15.2618,14.438,29.0429,2.1358,76.4709
8,50,58.9205,0.8417,727.2906,756.2107,15.4656,14.2641,28.9456,2.1592,80.6067
9,50,60.3214,0.8542,670.984,769.7499,15.1877,14.077,29.3778,2.0585,77.8576
10,50,60.7958,0.8527,700.7444,745.0559,15.0092,14.421,29.5168,2.121,79.004
