Putaran,Total Tugas,Makespan,Throughput,CPU Time,Wait Time,Avg Start,Avg Exec,Avg Finish,Imbalance,Util (%)
1,250,70.5594,3.5407,539.2252,5740.2731,22.6485,2.2356,25.1903,1.3785,52.0068
2,250,67.576,3.5703,560.465,5709.7562,22.1834,2.2118,25.1464,1.3561,53.0654
3,250,69.7685,3.5201,554.97,5749.1778,23.243,2.2506,24.2665,1.3546,53.4477
4,250,70.4034,3.6396,593.4862,5750.327,23.2669,2.2462,25.2792,1.3718,53.7058
5,250,68.6102,3.5854,545.678,5694.7218,23.8033,2.1218,25.2966,1.336,52.4035
6,250,71.2051,3.6071,539.1497,5604.0761,23.0594,2.1719,25.0621,1.3818,52.2134
7,250,72.6754,3.6481,528.7088,5706.6134,22.4491,2.2417,24.5586,1.3774,53.4371
8,250,70.894,3.516,547.3406,5631.4068,22.4529,2.282,25.1562,1.3457,53.8739
9,250,72.6451,3.6769,534.2827,5630.3506,23.3266,2.1729,25.1756,1.4019,51.9221
10,250,69.6044,3.3689,539.7377,5656.6929,22.1824,2.2761,24.2403,1.3684,53.0411
