Putaran,Total Tugas,Makespan,Throughput,CPU Time,Wait Time,Avg Start,Avg Exec,Avg Finish,Imbalance,Util (%)
1,30,93.2569,0.3202,552.0642,445.7397,14.6617,19.0734,33.8506,0.978,43.0145
2,30,89.3139,0.3229,573.8097,443.37,14.3606,18.87,33.7916,0.9621,43.8901
3,30,92.2116,0.3184,568.1839,446.4312,15.0465,19.2012,32.6092,0.961,44.2062
4,30,93.0508,0.3292,607.6171,446.5204,15.062,19.1637,33.9701,0.9732,44.4197
5,30,90.6807,0.3243,558.6707,442.2026,15.4093,18.1026,33.9935,0.9478,43.3425
6,30,94.1103,0.3262,551.9869,435.1638,14.9277,18.5302,33.6784,0.9803,43.1853
7,30,96.0537,0.3299,541.2974,443.126,14.5326,19.1255,33.0017,0.9772,44.1975
8,30,93.6991,0.318,560.3728,437.2861,14.5351,19.4689,33.8048,0.9547,44.5588
9,30,96.0135,0.3325,547.004,437.2041,15.1007,18.5387,33.8309,0.9946,42.9444
10,30,91.9947,0.3047,552.5889,439.2496,14.36,19.4188,32.5741,0.9708,43.8699
