Putaran,Total Tugas,Makespan,Throughput,CPU Time,Wait Time,Avg Start,Avg Exec,Avg Finish,Imbalance,Util (%)
1,50,143.4948,0.3561,769.8182,1678.4781,32.4333,15.1283,49.2947,0.4761,37.7481
2,50,143.6251,0.3538,752.8948,1636.7445,31.339,14.6751,47.2481,0.4594,38.3454
3,50,139.503,0.347,782.2508,1621.5068,32.6299,14.7664,47.2652,0.4699,37.2287
4,50,143.1509,0.3528,755.5401,1609.2601,33.7931,15.1954,46.7746,0.4766,37.1755
5,50,142.6769,0.3431,739.7859,1635.2752,33.0672,15.2516,47.6749,0.466,36.9791
6,50,140.0378,0.3538,776.0414,1640.0561,31.4369,15.298,47.4174,0.4625,38.5721
7,50,145.0131,0.3638,747.218,1618.7887,32.8018,15.496,47.3275,0.4671,37.2628
8,50,138.6841,0.3629,780.5878,1626.5161,33.24,15.3094,47.1689,0.4723,39.2781
9,50,141.9815,0.3683,720.1549,1655.6373,32.6427,15.1086,47.8731,0.4502,37.9385
10,50,143.0981,0.3677,752.0962,1602.5235,32.2589,15.4777,48.0996,0.4639,38.4971
