Putaran,Total Tugas,Makespan,Throughput,CPU Time,Wait Time,Avg Start,Avg Exec,Avg Finish,Imbalance,Util (%)
1,250,83.3331,3.0664,548.7312,5979.3077,23.8998,2.161,26.4704,0.4177,47.827
2,250,82.7814,2.923,551.8635,5977.4957,23.7022,2.219,26.5272,0.4312,47.989
3,250,83.6001,3.0037,535.188,6015.5584,24.1178,2.3359,26.2134,0.418,47.7889
4,250,81.2276,3.0769,564.9154,6113.9705,23.6506,2.2887,25.5768,0.4204,49.9171
5,250,81.524,2.9741,557.6549,5958.1441,23.3417,2.2293,25.7555,0.4195,46.9427
6,250,85.7499,2.961,552.9608,6116.6771,23.4957,2.2363,27.0025,0.4022,47.9987
7,250,83.604,3.0552,542.7773,5859.8,24.3402,2.2394,26.4464,0.4184,47.1717
8,250,83.558,3.0258,548.5943,6243.3426,24.317,2.1732,26.6601,0.4074,48.5749
9,250,85.0989,2.9588,567.2689,6068.4385,24.4848,2.3107,26.1855,0.4093,46.9713
10,250,81.8146,3.0035,560.343,6052.0567,24.4872,2.2268,27.0796,0.4133,50.4237
