Putaran,Total Tugas,Makespan,Throughput,CPU Time,Wait Time,Avg Start,Avg Exec,Avg Finish,Imbalance,Util (%)
1,30,57.2333,0.506,488.4573,236.9159,8.0663,17.4578,25.5541,2.0104,58.0112
2,30,54.8134,0.5103,507.6974,235.6564,7.9007,17.2716,25.5096,1.9778,59.192
3,30,56.5918,0.5031,502.7198,237.2834,8.278,17.5748,24.617,1.9756,59.6185
4,30,57.1068,0.5202,537.6097,237.3309,8.2866,17.5404,25.6443,2.0007,59.9063
5,30,55.6523,0.5124,494.3026,235.0359,8.4776,16.5692,25.6619,1.9484,58.4536
6,30,57.7571,0.5155,488.3889,231.2947,8.2127,16.9606,25.4241,2.0152,58.2416
7,30,58.9498,0.5214,478.9311,235.5267,7.9953,17.5054,24.9133,2.0087,59.6066
8,30,57.5048,0.5025,495.8087,232.4227,7.9967,17.8197,25.5195,1.9626,60.0939
9,30,58.9251,0.5255,483.9802,232.3791,8.3078,16.9684,25.5392,2.0446,57.9166
10,30,56.4587,0.4815,488.9216,233.4664,7.9003,17.7739,24.5904,1.9956,59.1649
