Putaran,Total Tugas,Makespan,Throughput,CPU Time,Wait Time,Avg Start,Avg Exec,Avg Finish,Imbalance,Util (%)
1,50,121.2184,0.4095,753.565,974.2246,19.3599,15.2181,35.8376,1.6341,41.3596
2,50,121.3284,0.4068,736.9989,950.0015,18.7067,14.7622,34.3497,1.5768,42.0141
3,50,117.8463,0.399,765.7351,941.1572,19.4773,14.854,34.3621,1.613,40.7905
4,50,120.9279,0.4057,739.5883,934.0489,20.1716,15.2856,34.0054,1.6359,40.7322
5,50,120.5274,0.3945,724.1668,949.1487,19.7383,15.3421,34.66,1.5997,40.5171
6,50,118.298,0.4069,759.6568,951.9236,18.7651,15.3888,34.4728,1.5876,42.2624
7,50,122.5009,0.4183,731.442,939.5796,19.5799,15.588,34.4074,1.6035,40.8278
8,50,117.1545,0.4173,764.1072,944.0647,19.8414,15.4003,34.2921,1.6211,43.036
9,50,119.94,0.4235,704.9503,960.9673,19.4849,15.1983,34.8041,1.5455,41.5682
10,50,120.8833,0.4228,736.2172,930.1389,19.2558,15.5696,34.9688,1.5924,42.1803
