Putaran,Total Tugas,Makespan,Throughput,CPU Time,Wait Time,Avg Start,Avg Exec,Avg Finish,Imbalance,Util (%)
1,250,91.0511,2.9907,581.0072,5248.1342,21.0446,2.2941,23.7139,1.3875,45.5851
2,250,90.4483,2.8508,584.3238,5246.5438,20.8706,2.3556,23.7648,1.4323,45.7396
3,250,91.3428,2.9295,566.6674,5279.952,21.2365,2.4797,23.4836,1.3886,45.5488
4,250,88.7506,3.001,598.1433,5366.3299,20.8251,2.4296,22.9133,1.3965,47.5773
5,250,89.0744,2.9007,590.4558,5229.5586,20.5531,2.3665,23.0734,1.3933,44.7423
6,250,93.6917,2.8879,585.4856,5368.7055,20.6887,2.374,24.1906,1.3359,45.7487
7,250,91.347,2.9798,574.7031,5143.2404,21.4323,2.3773,23.6924,1.3898,44.9605
8,250,91.2968,2.9511,580.8623,5479.8819,21.4119,2.307,23.8839,1.3534,46.2979
9,250,92.9804,2.8857,600.6353,5326.3657,21.5596,2.4529,23.4586,1.3595,44.7695
10,250,89.3919,2.9294,593.302,5311.9871,21.5618,2.3639,24.2596,1.373,48.0602
