index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
1,task-1-1,vm4,0.0,0.2029999999795109,0.204746,0.0
3,task-1-3,vm3,0.006859,0.23399999999674037,0.255333,0.0
5,task-1-5,vm4,0.006859,30.48399999999674,30.505584,0.0
7,task-10-7,vm4,0.006859,24.45299999997951,24.465485,0.0
9,task-10-9,vm3,0.006859,34.625,34.645928,0.0
0,task-10-0,vm4,0.011498,6.375,6.388987,0.0
2,task-10-2,vm4,0.011498,36.43699999997625,36.457997,0.0
4,task-10-4,vm4,0.011498,30.40600000001723,30.415748,0.0
8,task-1-8,vm2,0.011498,0.625,0.634731,0.0
11,task-10-11,vm4,0.011498,12.452999999979511,12.459491,0.0
13,task-10-13,vm3,0.011498,12.03100000001723,12.037188,0.0
15,task-1-15,vm2,0.011498,0.34399999998277053,0.364762,0.0
17,task-10-17,vm4,0.011498,18.51600000000326,18.525298,0.0
19,task-10-19,vm3,0.011498,23.65600000001723,23.675486,0.0
16,task-10-16,vm4,0.204746,42.28200000000652,42.489964,0.18699999997625127
23,task-10-23,vm3,0.255333,45.31300000002375,45.552719,0.23399999999674037
12,task-1-12,vm2,0.374717,0.5,0.875108,0.35899999999674037
21,task-1-21,vm2,0.634731,0.46899999998277053,1.114954,0.625
6,task-1-6,vm2,0.875108,0.48499999998603016,1.351894,0.8589999999967404
10,task-1-10,vm2,1.114954,0.48399999999674037,1.584671,1.0939999999827705
14,task-1-14,vm2,1.351894,0.48399999999674037,1.835625,1.3439999999827705
18,task-1-18,vm2,1.584671,0.48399999999674037,2.071568,1.577999999979511
20,task-1-20,vm2,1.835625,0.4690000000409782,2.304883,1.827999999979511
24,task-1-24,vm2,2.071568,0.45400000002700835,2.530876,2.0619999999762513
26,task-1-26,vm2,2.304883,0.4529999999795109,2.77098,2.297000000020489
25,task-10-25,vm4,6.39319,42.46899999998277,48.850232,6.375
27,task-10-27,vm3,12.037188,44.43799999996554,56.477665,12.03100000001723
22,task-10-22,vm4,12.459491,42.73399999999674,55.198797,12.452999999979511
28,task-10-28,vm4,18.525298,41.79599999997299,60.321514,18.51600000000326
29,task-10-29,vm4,24.465485,41.76600000000326,66.236785,24.45299999997951
