index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-10-0,vm2,0.0,22.640999999974156,22.648023,0.0
1,task-1-1,vm3,0.008079,0.25,0.250183,0.0
2,task-10-2,vm4,0.009095,6.3439999999827705,6.344012,0.0
3,task-1-3,vm3,0.009095,11.530999999988126,11.541726,0.0
4,task-10-4,vm3,0.009095,11.405999999988126,11.412437,0.0
5,task-1-5,vm3,0.01012,11.671999999991385,11.667655,0.0
6,task-1-6,vm2,0.01012,22.890999999974156,22.892834,0.0
7,task-10-7,vm4,0.01012,12.25,12.257239,0.0
9,task-10-9,vm4,0.01012,18.171999999991385,18.176564,0.0
10,task-1-10,vm1,0.01012,2.937999999994645,2.934611,0.0
11,task-10-11,vm4,0.01012,29.98499999998603,29.989639,0.0
13,task-10-13,vm4,0.01012,24.09399999998277,24.103005,0.0
16,task-10-16,vm4,0.01012,35.921999999991385,35.929163,0.0
17,task-10-17,vm4,0.01012,41.796999999991385,41.803396,0.0
19,task-10-19,vm4,0.012658,47.687000000005355,47.701181,0.0
8,task-1-8,vm3,0.250183,11.530999999988126,11.785834,0.25
14,task-1-14,vm1,2.934611,2.952999999979511,5.897084,2.937999999994645
21,task-1-21,vm1,5.897084,2.14000000001397,8.037797,5.875
27,task-10-27,vm4,6.344012,47.25,53.598681,6.328000000008615
22,task-10-22,vm1,8.037797,-1.0,38.465945,8.01500000001397
15,task-1-15,vm3,11.412437,0.5,11.916928,11.405999999988126
23,task-10-23,vm3,11.541726,11.60999999998603,23.1388,11.51500000001397
24,task-1-24,vm3,11.667655,11.59399999998277,23.271172,11.65600000001723
25,task-10-25,vm3,11.785834,22.671999999991385,34.457009,11.76500000001397
28,task-10-28,vm3,11.916928,34.625,46.537357,11.89000000001397
12,task-1-12,vm2,22.648023,0.5,23.139328,22.640999999974156
18,task-1-18,vm2,22.895207,0.4840000000258442,23.372647,22.875
20,task-1-20,vm2,23.139328,0.5,23.637292,23.125
26,task-1-26,vm2,23.372647,0.48499999998603016,23.855934,23.359000000025844
29,task-10-29,vm2,23.637292,22.76500000001397,46.407071,23.625
