index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-6-0,vm1,0.0,15.921999999991385,15.931748,0.0
1,task-5-1,vm2,0.001198,8.15700000000652,8.158217,0.0
2,task-8-2,vm3,0.001198,19.562999999994645,19.571678,0.0
3,task-2-3,vm4,0.001198,53.48499999998603,53.479642,0.0
4,task-10-4,vm4,0.001198,41.578999999997905,41.582415,0.0
5,task-3-5,vm2,0.001198,2.187999999994645,2.194791,0.0
6,task-4-6,vm4,0.001198,54.453999999997905,54.46005,0.0
7,task-4-7,vm4,0.001198,42.562999999994645,42.572499,0.0
8,task-7-8,vm3,0.007753,5.437999999994645,5.445399,0.0
10,task-9-10,vm4,0.007753,60.73499999998603,60.737456,0.0
13,task-9-13,vm4,0.007753,53.203999999997905,53.211849,0.0
14,task-1-14,vm3,0.007753,5.594000000011874,5.588609,0.0
15,task-8-15,vm3,0.007753,12.594000000011874,12.600402,0.0
17,task-5-17,vm4,0.007753,55.98499999998603,55.985938,0.0
19,task-10-19,vm4,0.007753,48.469000000011874,48.470713,0.0
9,task-3-9,vm2,2.194791,8.14100000000326,10.335374,2.187999999994645
11,task-1-11,vm2,8.158217,2.452999999979511,10.606934,8.15700000000652
12,task-7-12,vm2,10.335374,11.71799999999348,22.042822,10.328999999997905
16,task-2-16,vm1,15.931748,1.797000000020489,17.728404,15.921999999991385
18,task-6-18,vm1,17.728404,14.687999999994645,32.4012,17.719000000011874
