index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-6-0,vm2,0.0,25.578000000008615,25.582631,0.0
1,task-5-1,vm4,0.003937,26.5,26.498045,0.0
2,task-8-2,vm3,0.003937,31.155999999988126,31.165731,0.0
3,task-2-3,vm2,0.003937,17.687999999994645,17.69001,0.0
4,task-10-4,vm4,0.009243,36.171999999991385,36.168663,0.0
5,task-3-5,vm3,0.009243,33.296999999991385,33.302236,0.0
7,task-4-7,vm3,0.009243,35.203000000008615,35.201656,0.0
8,task-7-8,vm1,0.009243,34.453000000008615,34.450487,0.0
9,task-3-9,vm3,0.009243,32.21899999998277,32.22323,0.0
12,task-7-12,vm4,0.009243,49.76600000000326,49.763183,0.0
13,task-9-13,vm4,0.009243,46.85899999999674,46.864257,0.0
15,task-8-15,vm4,0.009243,30.312999999994645,30.310059,0.0
19,task-10-19,vm4,0.009243,42.078000000008615,42.074945,0.0
6,task-4-6,vm2,17.69001,27.703000000008615,45.401873,17.687999999994645
16,task-2-16,vm2,25.582631,20.73499999998603,46.317794,25.578000000008615
10,task-9-10,vm3,31.165731,25.719000000011874,56.884089,31.155999999988126
17,task-5-17,vm3,32.22323,27.67200000002049,59.894048,32.21899999998277
11,task-1-11,vm1,34.450487,22.015999999974156,56.480349,34.453000000008615
18,task-6-18,vm2,45.417922,16.03200000000652,61.438101,45.405999999988126
14,task-1-14,vm1,56.480349,7.51500000001397,63.983185,56.46899999998277
